         5       363       111       267

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca  nSF   Acel   Aion   Zion        mstn        mstp
   62   8.696668E+03   1.001506E+00   5.131E+14   2.064E+34   2.970E-01      7.630E-01   5.418E-01   8.450E-01   2.016E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.196E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.947078E-01   4.834597E-01
   63   8.743175E+03   1.012871E+00   5.059E+14   1.989E+34   2.930E-01      7.602E-01   5.378E-01   8.410E-01   2.007E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.085E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.972071E-01   4.863828E-01
   64   8.789192E+03   1.024117E+00   4.987E+14   1.914E+34   2.890E-01      7.573E-01   5.338E-01   8.370E-01   1.998E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      5.973E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.997133E-01   4.893222E-01
   65   8.834732E+03   1.035246E+00   4.917E+14   1.841E+34   2.851E-01      7.544E-01   5.297E-01   8.330E-01   1.989E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      5.863E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    7.022233E-01   4.922889E-01
   66   8.879809E+03   1.046076E+00   4.850E+14   1.774E+34   2.813E-01      7.517E-01   5.257E-01   8.291E-01   1.980E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      5.756E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    7.046402E-01   4.951455E-01
   67   8.924432E+03   1.056677E+00   4.785E+14   1.712E+34   2.777E-01      7.490E-01   5.219E-01   8.254E-01   1.971E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      5.653E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    7.069953E-01   4.979482E-01
   68   8.968613E+03   1.067174E+00   4.721E+14   1.650E+34   2.742E-01      7.463E-01   5.180E-01   8.216E-01   1.963E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      5.550E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    7.093569E-01   5.007693E-01
   69   9.012362E+03   1.077568E+00   4.658E+14   1.589E+34   2.706E-01      7.436E-01   5.141E-01   8.178E-01   1.954E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      5.447E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    7.117271E-01   5.036007E-01
   70   9.055692E+03   1.087862E+00   4.595E+14   1.529E+34   2.671E-01      7.409E-01   5.101E-01   8.140E-01   1.946E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      5.345E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    7.140953E-01   5.064595E-01
   71   9.098610E+03   1.098058E+00   4.533E+14   1.469E+34   2.636E-01      7.381E-01   5.062E-01   8.102E-01   1.938E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      5.243E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    7.164709E-01   5.093332E-01
   72   9.141128E+03   1.108160E+00   4.472E+14   1.409E+34   2.601E-01      7.354E-01   5.022E-01   8.064E-01   1.929E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      5.140E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    7.188566E-01   5.122191E-01
   73   9.183254E+03   1.118168E+00   4.411E+14   1.351E+34   2.567E-01      7.327E-01   4.982E-01   8.026E-01   1.921E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      5.040E+09   9.150E+06   1.000E+00   00000  3p2   N/A    N/A    N/A    7.212389E-01   5.151356E-01
   74   9.224996E+03   1.128085E+00   4.350E+14   1.292E+34   2.533E-01      7.299E-01   4.941E-01   7.987E-01   1.912E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.940E+09   4.722E+07   1.000E+00   00000  3p2   N/A    N/A    N/A    7.236317E-01   5.180662E-01
   75   9.266364E+03   1.137913E+00   4.290E+14   1.235E+34   2.499E-01      7.271E-01   4.900E-01   7.948E-01   1.904E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.838E+09   9.884E+07   1.000E+00   00000  3p2   N/A    N/A    N/A    7.260357E-01   5.210114E-01
   76   9.307366E+03   1.147654E+00   4.231E+14   1.178E+34   2.466E-01      7.244E-01   4.859E-01   7.910E-01   1.895E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.740E+09   1.612E+08   1.000E+00   00000  3p2   N/A    N/A    N/A    7.284364E-01   5.239883E-01
   77   9.348011E+03   1.156898E+00   4.159E+14   1.126E+34   2.425E-01      7.209E-01   4.808E-01   7.861E-01   1.885E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.617E+09   2.520E+08   1.000E+00   00000  3p2   N/A    N/A    N/A    7.314122E-01   5.276783E-01
   78   9.388305E+03   1.165795E+00   4.078E+14   1.079E+34   2.379E-01      7.171E-01   4.749E-01   7.807E-01   1.873E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.481E+09   3.681E+08   1.000E+00   00000  3p2   N/A    N/A    N/A    7.347746E-01   5.318715E-01
   79   9.428255E+03   1.174615E+00   3.998E+14   1.033E+34   2.334E-01      7.131E-01   4.689E-01   7.752E-01   1.861E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.346E+09   4.942E+08   1.000E+00   00000  3p2   N/A    N/A    N/A    7.381605E-01   5.361221E-01
   80   9.467870E+03   1.183362E+00   3.919E+14   9.866E+33   2.289E-01      7.091E-01   4.629E-01   7.696E-01   1.849E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.210E+09   6.263E+08   1.000E+00   00000  3p2   N/A    N/A    N/A    7.415766E-01   5.404251E-01
   81   9.507156E+03   1.192036E+00   3.840E+14   9.407E+33   2.244E-01      7.051E-01   4.567E-01   7.639E-01   1.837E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.078E+09   7.574E+08   1.000E+00   00000  3p2   N/A    N/A    N/A    7.450071E-01   5.447888E-01
   82   9.546120E+03   1.200638E+00   3.763E+14   8.953E+33   2.199E-01      7.010E-01   4.504E-01   7.582E-01   1.825E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.943E+09   8.836E+08   1.000E+00   00000  3p2   N/A    N/A    N/A    7.484789E-01   5.492059E-01
   83   9.584769E+03   1.209172E+00   3.685E+14   8.502E+33   2.156E-01      6.969E-01   4.439E-01   7.524E-01   1.813E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.814E+09   9.992E+08   1.000E+00   00000  3p2   N/A    N/A    N/A    7.519556E-01   5.536903E-01
   84   9.623109E+03   1.217637E+00   3.609E+14   8.054E+33   2.111E-01      6.927E-01   4.373E-01   7.465E-01   1.800E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.683E+09   1.107E+09   1.000E+00   00000  3p2   N/A    N/A    N/A    7.554772E-01   5.582327E-01
   85   9.661145E+03   1.226035E+00   3.533E+14   7.611E+33   2.070E-01      6.876E-01   4.290E-01   7.393E-01   1.789E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.563E+09   1.226E+09   1.000E+00   00000  3p2   N/A    N/A    N/A    7.590838E-01   5.627528E-01
   86   9.698885E+03   1.234367E+00   3.457E+14   7.170E+33   2.029E-01      6.821E-01   4.200E-01   7.315E-01   1.777E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.445E+09   1.342E+09   1.000E+00   00000  3p2   N/A    N/A    N/A    7.627530E-01   5.673061E-01
   87   9.736332E+03   1.241403E+00   3.366E+14   6.825E+33   1.978E-01      6.752E-01   4.086E-01   7.218E-01   1.763E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.300E+09   1.476E+09   1.000E+00   00000  3p2   N/A    N/A    N/A    7.673111E-01   5.729625E-01
