         5       363       111       267

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca  nSF   Acel   Aion   Zion
   54   9.009058E+03   8.598236E-01   4.366E+14   1.925E+34   2.536E-01      7.357E-01   5.045E-01   8.076E-01   1.911E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.517E+08   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A 
   55   9.064329E+03   8.722643E-01   4.327E+14   1.871E+34   2.514E-01      7.325E-01   4.999E-01   8.031E-01   1.906E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.560E+08   4.610E+06   1.000E+00   00000  3p2   N/A    N/A    N/A 
   56   9.118935E+03   8.845552E-01   4.287E+14   1.816E+34   2.492E-01      7.294E-01   4.953E-01   7.987E-01   1.901E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.601E+08   4.691E+07   1.000E+00   00000  3p2   N/A    N/A    N/A 
   57   9.172895E+03   8.967006E-01   4.248E+14   1.762E+34   2.470E-01      7.263E-01   4.907E-01   7.944E-01   1.896E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.640E+08   1.049E+08   1.000E+00   00000  3p2   N/A    N/A    N/A 
   58   9.226227E+03   9.087047E-01   4.210E+14   1.709E+34   2.449E-01      7.232E-01   4.862E-01   7.901E-01   1.891E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.677E+08   1.765E+08   1.000E+00   00000  3p2   N/A    N/A    N/A 
   59   9.278949E+03   9.205716E-01   4.172E+14   1.657E+34   2.428E-01      7.202E-01   4.817E-01   7.858E-01   1.885E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.712E+08   2.579E+08   1.000E+00   00000  3p2   N/A    N/A    N/A 
   60   9.331079E+03   9.323052E-01   4.134E+14   1.605E+34   2.407E-01      7.172E-01   4.771E-01   7.816E-01   1.880E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.745E+08   3.475E+08   1.000E+00   00000  3p2   N/A    N/A    N/A 
   61   9.382633E+03   9.439092E-01   4.097E+14   1.554E+34   2.386E-01      7.142E-01   4.727E-01   7.775E-01   1.875E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.776E+08   4.412E+08   1.000E+00   00000  3p2   N/A    N/A    N/A 
   62   9.433627E+03   9.553915E-01   4.061E+14   1.503E+34   2.365E-01      7.112E-01   4.682E-01   7.733E-01   1.870E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.805E+08   5.387E+08   1.000E+00   00000  3p2   N/A    N/A    N/A 
   63   9.484075E+03   9.669110E-01   4.019E+14   1.458E+34   2.342E-01      7.079E-01   4.630E-01   7.686E-01   1.864E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.835E+08   6.498E+08   1.000E+00   00000  3p2   N/A    N/A    N/A 
   64   9.533992E+03   9.783094E-01   3.977E+14   1.413E+34   2.319E-01      7.045E-01   4.579E-01   7.639E-01   1.859E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.864E+08   7.590E+08   1.000E+00   00000  3p2   N/A    N/A    N/A 
   65   9.583392E+03   9.895894E-01   3.936E+14   1.369E+34   2.296E-01      7.012E-01   4.528E-01   7.592E-01   1.853E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.889E+08   8.612E+08   1.000E+00   00000  3p2   N/A    N/A    N/A 
   66   9.632288E+03   1.000755E+00   3.896E+14   1.325E+34   2.273E-01      6.979E-01   4.477E-01   7.546E-01   1.847E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.912E+08   9.562E+08   1.000E+00   00000  3p2   N/A    N/A    N/A 
   67   9.680692E+03   1.011807E+00   3.856E+14   1.282E+34   2.251E-01      6.947E-01   4.426E-01   7.501E-01   1.841E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.932E+08   1.043E+09   1.000E+00   00000  3p2   N/A    N/A    N/A 
   68   9.728617E+03   1.022751E+00   3.816E+14   1.239E+34   2.228E-01      6.914E-01   4.375E-01   7.455E-01   1.835E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.950E+08   1.124E+09   1.000E+00   00000  3p2   N/A    N/A    N/A 
   69   9.776074E+03   1.033587E+00   3.777E+14   1.196E+34   2.206E-01      6.882E-01   4.324E-01   7.410E-01   1.830E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.965E+08   1.199E+09   1.000E+00   00000  3p2   N/A    N/A    N/A 
   70   9.823075E+03   1.044320E+00   3.738E+14   1.154E+34   2.184E-01      6.850E-01   4.273E-01   7.365E-01   1.824E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.977E+08   1.269E+09   1.000E+00   00000  3p2   N/A    N/A    N/A 
